director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,movie_imdb_link
Fernando Meirelles,Don McKellar,Joe Pingue,Yûsuke Iseya,Drama Mystery Sci-Fi Thriller,blindness,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1
Uwe Boll,Meat Loaf,Udo Kier,Michael Paré,Action Adventure Fantasy Horror,bloodrayne,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1
Roman Polanski,Kate Winslet,Christoph Waltz,Julie Adams,Comedy Drama,carnage,http://www.imdb.com/title/tt1692486/?ref_=fn_tt_tt_1
Atom Egoyan,Colin Firth,Alison Lohman,Rachel Blanchard,Crime Drama Mystery Thriller,where the truth lies,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1
Andrew Adamson,Dallas Barnett,Erica Linz,Igor Zaripov,Fantasy,cirque du soleil: worlds away,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1
Robert Towne,Billy Burke,Monica Potter,Billy Crudup,Biography Drama Sport,without limits,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1
Richard Linklater,Zoe Kazan,Aidan McArdle,James Tupper,Drama,me and orson welles,http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1
Giuseppe Tornatore,Jim Sturgess,Sean Buchanan,Liya Kebede,Crime Drama Mystery Romance,the best offer,http://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1
Werner Herzog,Nicolas Cage,Shea Whigham,Shawn Hatosy,Crime Drama,bad lieutenant: port of call new orleans,http://www.imdb.com/title/tt1095217/?ref_=fn_tt_tt_1
Ben Stassen,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,Adventure Animation Family,a turtle's tale: sammy's adventures,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1
Guillaume Canet,François Cluzet,Benoît Magimel,Gilles Lellouche,Comedy Drama,little white lies,http://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1
Taylor Hackford,Scout Taylor-Compton,Bai Ling,Gil Birmingham,Comedy Drama Romance Sport,love ranch,http://www.imdb.com/title/tt1125929/?ref_=fn_tt_tt_1
Jérôme Deschamps,Yolande Moreau,André Wilms,Jérôme Deschamps,Adventure Animation Comedy,the true story of puss'n boots,http://www.imdb.com/title/tt1239462/?ref_=fn_tt_tt_1
Inna Evlannikova,Sergey Garmash,Evgeniy Mironov,Aleksandr Bashirov,Adventure Animation Comedy Family,space dogs,http://www.imdb.com/title/tt1272051/?ref_=fn_tt_tt_1
Ridley Scott,Michael Fassbender,Brad Pitt,Goran Visnjic,Crime Drama Thriller,the counselor,http://www.imdb.com/title/tt2193215/?ref_=fn_tt_tt_1
Jonathan English,Jason Flemyng,Mackenzie Crook,Derek Jacobi,Action Adventure History Romance,ironclad,http://www.imdb.com/title/tt1233301/?ref_=fn_tt_tt_1
Sergey Bondarchuk,Rod Steiger,Dan O'Herlihy,Jack Hawkins,Action Drama History War,waterloo,http://www.imdb.com/title/tt0066549/?ref_=fn_tt_tt_1
Teddy Chan,Siu-Wong Fan,Charlie Yeung,Wai-Keung Lau,Action Drama,kung fu killer,http://www.imdb.com/title/tt2952602/?ref_=fn_tt_tt_1
Mario Van Peebles,Martin Kove,Mario Van Peebles,Jacob Vargas,Action Thriller,red sky,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1
Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,dangerous liaisons,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1
Walter Salles,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,Adventure Drama,on the road,http://www.imdb.com/title/tt0337692/?ref_=fn_tt_tt_1
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Comedy Sci-Fi,star trek iv: the voyage home,http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1
Sylvester Stallone,Sylvester Stallone,Burt Young,Mike Tyson,Drama Sport,rocky balboa,http://www.imdb.com/title/tt0479143/?ref_=fn_tt_tt_1
Ericson Core,Ray Winstone,Edgar Ramírez,Delroy Lindo,Action Crime Sport Thriller,point break,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1
Wes Craven,Omar Epps,Jada Pinkett Smith,Kevin Williamson,Horror Mystery,scream 2,http://www.imdb.com/title/tt0120082/?ref_=fn_tt_tt_1
Gavin O'Connor,Natalie Portman,Noah Emmerich,Boyd Holbrook,Action Drama Western,jane got a gun,http://www.imdb.com/title/tt2140037/?ref_=fn_tt_tt_1
Tim Story,Romany Malco,Regina Hall,David Walton,Comedy Romance,think like a man too,http://www.imdb.com/title/tt2239832/?ref_=fn_tt_tt_1
Jonathan Lynn,Bruce Willis,Matthew Perry,Natasha Henstridge,Comedy Crime,the whole nine yards,http://www.imdb.com/title/tt0190138/?ref_=fn_tt_tt_1
Herbert Ross,Dianne Wiest,Chris Penn,Lori Singer,Drama Music Romance,footloose,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1
Todd Phillips,Will Ferrell,Leah Remini,Patrick Fischler,Comedy,old school,http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1
Terry Gilliam,Jeff Bridges,David Hyde Pierce,Harry Shearer,Comedy Drama Fantasy,the fisher king,http://www.imdb.com/title/tt0101889/?ref_=fn_tt_tt_1
Danny Cannon,Muse Watson,Mekhi Phifer,Bill Cobbs,Horror Mystery,i still know what you did last summer,http://www.imdb.com/title/tt0130018/?ref_=fn_tt_tt_1
Bonnie Hunt,Minnie Driver,Jim Belushi,Bonnie Hunt,Comedy Drama Romance,return to me,http://www.imdb.com/title/tt0122459/?ref_=fn_tt_tt_1
Kevin Smith,Gerry Bednob,Jeff Anderson,Jennifer Schwalbach Smith,Comedy Romance,zack and miri make a porno,http://www.imdb.com/title/tt1007028/?ref_=fn_tt_tt_1
Neil LaBute,Morgan Freeman,Pruitt Taylor Vince,Kathleen Wilhoite,Comedy Crime Drama,nurse betty,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1
Grant Heslov,Kevin Spacey,Jeff Bridges,Stephen Root,Comedy War,the men who stare at goats,http://www.imdb.com/title/tt1234548/?ref_=fn_tt_tt_1
George Gallo,Daniel Roebuck,Eddie Griffin,Garcelle Beauvais,Action Comedy Crime Thriller,double take,http://www.imdb.com/title/tt0238948/?ref_=fn_tt_tt_1
James Mangold,Angelina Jolie Pitt,Clea DuVall,Vanessa Redgrave,Biography Drama,"girl, interrupted",http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1
Robert Luketic,Topher Grace,Gary Cole,Nathan Lane,Comedy Romance,win a date with tad hamilton!,http://www.imdb.com/title/tt0335559/?ref_=fn_tt_tt_1
Tim Hill,Josh Charles,F. Murray Abraham,David Arquette,Adventure Comedy Family Fantasy Music Sci-Fi,muppets from space,http://www.imdb.com/title/tt0158811/?ref_=fn_tt_tt_1
Sidney Lumet,Lena Horne,Diana Ross,Theresa Merritt,Adventure Family Fantasy Music Musical,the wiz,http://www.imdb.com/title/tt0078504/?ref_=fn_tt_tt_1
Brian Robbins,Oliver Platt,Ellen Albertini Dow,Martin Landau,Comedy Sport,ready to rumble,http://www.imdb.com/title/tt0217756/?ref_=fn_tt_tt_1
Ron Shelton,Willie Garson,Robert Wagner,Lolita Davidovich,Comedy Drama Sport,play it to the bone,http://www.imdb.com/title/tt0196857/?ref_=fn_tt_tt_1
Douglas McGrath,Olivia Munn,Busy Philipps,Jessica Szohr,Comedy Romance,i don't know how she does it,http://www.imdb.com/title/tt1742650/?ref_=fn_tt_tt_1
Alexandre Aja,Adam Scott,Kelly Brook,Jessica Szohr,Comedy Horror,piranha 3d,http://www.imdb.com/title/tt0464154/?ref_=fn_tt_tt_1
Kevin Spacey,Kevin Spacey,Bob Hoskins,Brenda Blethyn,Biography Drama Music Musical,beyond the sea,http://www.imdb.com/title/tt0363473/?ref_=fn_tt_tt_1
Steve Boyum,Paul Walker,M.C. Gainey,A.J. Langer,Comedy Family,meet the deedles,http://www.imdb.com/title/tt0120645/?ref_=fn_tt_tt_1
Richard Williams,Donald Pleasence,Kenneth Williams,Clive Revill,Action Adventure Animation Comedy Fantasy,the princess and the cobbler,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1
Mary McGuckian,Robert De Niro,F. Murray Abraham,Geraldine Chaplin,Drama Romance,the bridge of san luis rey,http://www.imdb.com/title/tt0356443/?ref_=fn_tt_tt_1
George Tillman Jr.,Dwayne Johnson,Tom Berenger,Mike Epps,Action Crime Drama Thriller,faster,http://www.imdb.com/title/tt1433108/?ref_=fn_tt_tt_1
Hayao Miyazaki,Christian Bale,Blythe Danner,Jean Simmons,Adventure Animation Family Fantasy,howl's moving castle,http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1
Ruben Fleischer,Emma Stone,Bill Murray,Derek Graf,Adventure Comedy Horror Sci-Fi,zombieland,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
Frank Coraci,Adam Sandler,Clint Howard,Peter Dante,Comedy Sport,the waterboy,http://www.imdb.com/title/tt0120484/?ref_=fn_tt_tt_1
Irvin Kershner,Harrison Ford,Kenny Baker,Anthony Daniels,Action Adventure Fantasy Sci-Fi,star wars: episode v - the empire strikes back,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1
Michael Bay,Will Smith,Tchéky Karyo,Theresa Randle,Action Comedy Crime Drama Thriller,bad boys,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1
David Zucker,George Kennedy,Priscilla Presley,O.J. Simpson,Comedy Crime,the naked gun 2½: the smell of fear,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1
James Wong,Daniel Roebuck,Brendan Fehr,Kerr Smith,Horror Thriller,final destination,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1
George Clooney,Ryan Gosling,Philip Seymour Hoffman,Jennifer Ehle,Drama,the ides of march,http://www.imdb.com/title/tt1124035/?ref_=fn_tt_tt_1
David Twohy,Vin Diesel,Radha Mitchell,Cole Hauser,Horror Sci-Fi,pitch black,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1
Tony Goldwyn,Hugh Jackman,Ellen Barkin,Catherine Dent,Comedy Romance,someone like you...,http://www.imdb.com/title/tt0244970/?ref_=fn_tt_tt_1
Spike Jonze,Scarlett Johansson,Brian Johnson,Matt Letscher,Drama Romance Sci-Fi,her,http://www.imdb.com/title/tt1798709/?ref_=fn_tt_tt_1
Dexter Fletcher,Hugh Jackman,Taron Egerton,Tim McInnerny,Biography Comedy Drama Sport,eddie the eagle,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1
John Dahl,Paul Walker,Jessica Bowman,Dell Yount,Mystery Thriller,joy ride,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1
Jonathan Newman,Ioan Gruffudd,Keeley Hawes,Oliver Stark,Adventure Family Fantasy,the adventurer: the curse of the midas box,http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1
Wayne Wang,Natalie Portman,Eva Amurri Martino,Shawn Hatosy,Comedy Drama,anywhere but here,http://www.imdb.com/title/tt0149691/?ref_=fn_tt_tt_1
Andy Cadiff,Annabella Sciorra,Stark Sands,Terence Maynard,Comedy Romance,chasing liberty,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1
Michael Dinner,Seymour Cassel,Dan Hedaya,Lainie Kazan,Comedy Crime,the crew,http://www.imdb.com/title/tt0198386/?ref_=fn_tt_tt_1
Steven Soderbergh,Channing Tatum,Michael Fassbender,Michael Angarano,Action Thriller,haywire,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1
Joseph Sargent,Judith Barsi,Mario Van Peebles,Lynn Whitfield,Adventure Horror Thriller,jaws: the revenge,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1
Jerry Zaks,Leonardo DiCaprio,Robert De Niro,Meryl Streep,Drama,marvin's room,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1
Fred Durst,Tasha Smith,Dash Mihok,Garrett Morris,Biography Comedy Drama Family Sport,the longshots,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1
Neil Jordan,Stephen Rea,Ian Hart,James Bolam,Drama Romance,the end of the affair,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1
Simon Wincer,Vanessa Williams,Tia Carrere,Don Johnson,Action Crime Drama Thriller Western,harley davidson and the marlboro man,http://www.imdb.com/title/tt0102005/?ref_=fn_tt_tt_1
Paul Haggis,James Franco,Charlize Theron,Barry Corbin,Crime Drama Mystery Thriller,in the valley of elah,http://www.imdb.com/title/tt0478134/?ref_=fn_tt_tt_1
Anne Fontaine,Alessandro Nivola,Benoît Poelvoorde,Marie Gillain,Biography Drama,coco before chanel,http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1
Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,Drama Western,forsaken,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1
Stephen Frears,Tom Burke,Iben Hjejle,Gaye Brown,Comedy Drama Romance,chéri,http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1
unknown,Cole Hauser,Sarah Carter,Derek Luke,Action Crime Drama Thriller,rogue            ,http://www.imdb.com/title/tt2397255/?ref_=fn_tt_tt_1
Mira Nair,Romola Garai,Roger Lloyd Pack,Lillete Dubey,Drama,vanity fair,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1
Teddy Chan,Bingbing Fan,Simon Yam,Nicholas Tse,Action Drama History,bodyguards and assassins,http://www.imdb.com/title/tt1403130/?ref_=fn_tt_tt_1
Mikael Håfström,Drew Powell,Kim Thomson,Alexandra Silber,Fantasy Horror,1408,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1
Mel Brooks,Joan Rivers,Dick Van Patten,Michael Winslow,Adventure Comedy Sci-Fi,spaceballs,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1
Russell Crowe,Cem Yilmaz,Ryan Corr,Steve Bastoni,Drama War,the water diviner,http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1
Jerry Zucker,Demi Moore,Tony Goldwyn,Phil Leeds,Drama Fantasy Romance Thriller,ghost,http://www.imdb.com/title/tt0099653/?ref_=fn_tt_tt_1
Bobby Farrelly,Sarah Silverman,Lin Shaye,Richard Tyson,Comedy Romance,there's something about mary,http://www.imdb.com/title/tt0129387/?ref_=fn_tt_tt_1
John Pasquin,Judge Reinhold,Eric Lloyd,Peter Boyle,Comedy Drama Family Fantasy,the santa clause,http://www.imdb.com/title/tt0111070/?ref_=fn_tt_tt_1
John Lee Hancock,Dennis Quaid,Jay Hernandez,Angus T. Jones,Drama Family Sport,the rookie,http://www.imdb.com/title/tt0265662/?ref_=fn_tt_tt_1
Andy Fickman,Dwayne Johnson,Kyra Sedgwick,Madison Pettis,Comedy Family Sport,the game plan,http://www.imdb.com/title/tt0492956/?ref_=fn_tt_tt_1
Clint Eastwood,Clint Eastwood,Meryl Streep,Debra Monk,Drama Romance,the bridges of madison county,http://www.imdb.com/title/tt0112579/?ref_=fn_tt_tt_1
Luke Greenfield,Louis Lombardi,Michael Papajohn,Colleen Haskell,Comedy Sci-Fi,the animal,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1
Richard Attenborough,Candice Bergen,Amrish Puri,John Gielgud,Biography Drama History,gandhi,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1
Lasse Hallström,Manish Dayal,Charlotte Le Bon,Juhi Chawla,Comedy Drama,the hundred-foot journey,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1
Irwin Winkler,Ken Howard,Jeremy Northam,Ray McKinnon,Action Crime Drama Mystery Thriller,the net,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1
Jessie Nelson,Dianne Wiest,Loretta Devine,Richard Schiff,Drama,i am sam,http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1
Christopher Spencer,Roma Downey,Amber Rose Revah,Darwin Shaw,Biography Drama History,son of god,http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1
Len Wiseman,Sophia Myles,Kevin Grevioux,Shane Brolly,Action Fantasy Thriller,underworld,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1
Mikael Håfström,Denis O'Hare,RZA,Xzibit,Drama Thriller,derailed,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1
Steven Soderbergh,Matt Damon,Joel McHale,Thomas F. Wilson,Comedy Crime Drama Thriller,the informant!,http://www.imdb.com/title/tt1130080/?ref_=fn_tt_tt_1
Richard Attenborough,Anthony Hopkins,James Frain,Julian Fellowes,Biography Drama Romance,shadowlands,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1
Mike Bigelow,Carlos Ponce,Eddie Griffin,Charles Keating,Comedy,deuce bigalow: european gigolo,http://www.imdb.com/title/tt0367652/?ref_=fn_tt_tt_1
Ken Scott,Jack Reynor,Bobby Moynihan,Matthew Daddario,Comedy Drama,delivery man,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1
Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Drama Horror Sci-Fi Thriller,victor frankenstein,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1
Susanna White,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin,Thriller,our kind of traitor,http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1
Dennis Dugan,Amanda Detmer,Neil Diamond,Kyle Gass,Comedy Crime Romance,saving silverman,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1
David Bowers,Zachary Gordon,Rachael Harris,Karan Brar,Comedy Family,diary of a wimpy kid: dog days,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1
Spike Lee,Mira Sorvino,Jennifer Esposito,Mike Starr,Crime Drama Romance Thriller,summer of sam,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1
Kevin Smith,Will Ferrell,Shannon Elizabeth,Jason Mewes,Comedy,jay and silent bob strike back,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1
Michael Bay,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller,the island,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1
Daniel Sackheim,Chris Noth,Bruce Dern,Trevor Morgan,Crime Drama Mystery Thriller,the glass house,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1
Ethan Coen,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,Comedy Mystery,"hail, caesar!",http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1
Harry Elfont,Rosario Dawson,Paulo Costanzo,Aries Spears,Comedy Music,josie and the pussycats,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1
Gary Fleder,Jason Statham,James Franco,Frank Grillo,Action Crime Drama Thriller,homefront,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1
Uli Edel,Richard E. Grant,Jim Carter,Alice Krige,Adventure Comedy Family Fantasy,the little vampire,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1
David O. Russell,Naomi Watts,Lily Tomlin,Isabelle Huppert,Comedy,i heart huckabees,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1
Fred Dekker,CCH Pounder,Rip Torn,Mako,Action Crime Sci-Fi Thriller,robocop 3,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1
Brian Trenchard-Smith,Michael Biehn,Udo Kier,Franco Nero,Action Adventure Fantasy Sci-Fi Thriller,megiddo: the omega code 2,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1
Blake Edwards,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,Comedy Drama Musical Romance War,darling lili,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1
Hugh Wilson,Brendan Fraser,Alex Rocco,Eric Idle,Comedy Family Romance,dudley do-right,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1
Camille Delamarre,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,Action Crime Thriller,the transporter refueled,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1
Laurence Dunmore,Johnny Depp,Jack Davenport,Richard Coyle,Drama Romance,the libertine,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1
Paul Verhoeven,Michiel Huisman,Sebastian Koch,Christian Berkel,Drama Thriller War,black book,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1
Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,Drama History Music Romance War,joyeux noel,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1
David Palmer,Bradley Cooper,Tom Arnold,Beau Bridges,Action Comedy Romance,hit and run,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1
Callie Khouri,Stephen Root,Ted Danson,Roger Cross,Comedy Crime Thriller,mad money,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1
Rowan Joffe,Colin Firth,Ben Crompton,Anne-Marie Duff,Drama Mystery Thriller,before i go to sleep,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1
William Friedkin,Roy Scheider,Joe Spinell,Amidou,Adventure Drama Thriller,sorcerer,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1
John Curran,Robert De Niro,Milla Jovovich,Frances Conroy,Drama Thriller,stone,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1
Laurent Tirard,Romain Duris,Ludivine Sagnier,Fabrice Luchini,Comedy History,molière,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1
Scott Cooper,Christian Bale,Sam Shepard,Dendrie Taylor,Crime Drama Thriller,out of the furnace,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1
Tony Gilroy,Tom Wilkinson,Denis O'Hare,Sydney Pollack,Crime Drama Mystery Thriller,michael clayton,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1
Peter Segal,Wilford Brimley,Bradley Whitford,Sela Ward,Adventure Comedy,my fellow americans,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1
Mark Pellington,Jeff Bridges,Spencer Treat Clark,Hope Davis,Crime Drama Thriller,arlington road,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1
Juan José Campanella,Pablo Rago,Diego Ramos,Gabriel Almirón,Adventure Animation Family Sport,underdogs,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1
Woody Allen,Ornella Muti,Judy Davis,Alessandra Mastronardi,Comedy Romance,to rome with love,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1
Clint Eastwood,Clint Eastwood,Warren Clarke,Kenneth Colley,Action Adventure Thriller,firefox,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1
Trey Parker,Minnie Driver,Eric Idle,Trey Parker,Animation Comedy Fantasy Musical,south park: bigger longer & uncut,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,death at a funeral,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1
Stuart Gillard,Paige Turco,John Aylward,Matt Hill,Action Adventure Comedy Family Fantasy Sci-Fi,teenage mutant ninja turtles iii,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1
Brian Robbins,Keanu Reeves,D.B. Sweeney,DeWayne Warren,Drama Sport,hardball,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Comedy Drama Romance,silver linings playbook,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1
Richard LaGravenese,Hunter Parrish,Scott Glenn,Imelda Staunton,Biography Crime Drama,freedom writers,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1
Tyler Perry,Omari Hardwick,Loretta Devine,Kimberly Elise,Drama,for colored girls,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1
Louis Leterrier,Jason Statham,Qi Shu,Matt Schulze,Action Crime Thriller,the transporter,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1
Jeff Wadlow,Djimon Hounsou,Neil Brown Jr.,Leslie Hope,Action Drama Sport,never back down,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1
Katt Shea,Jason London,Rachel Blanchard,Eddie Kaye Thomas,Horror Sci-Fi Thriller,the rage: carrie 2,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1
unknown,Chris Harrison,unknown,unknown,Game-Show Reality-TV Romance,the bachelor            ,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1
Sam Mendes,Catherine O'Hara,Jim Gaffigan,Carmen Ejogo,Comedy Drama Romance,away we go,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1
Joshua Michael Stern,Madeline Carroll,Judge Reinhold,Nathan Lane,Comedy Drama,swing vote,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1
Brad Silberling,Jake Gyllenhaal,Holly Hunter,Bob Clendenin,Drama Romance,moonlight mile,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1
Tomas Alfredson,Benedict Cumberbatch,Colin Firth,Gary Oldman,Drama Mystery Thriller,tinker tailor soldier spy,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1
John Duigan,Elaine Hendrix,Jill Hennessy,Sarah Wynter,Comedy Drama Romance,molly,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1
Jodie Foster,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,Drama,the beaver,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1
Colin Higgins,Dolly Parton,Barry Corbin,Dom DeLuise,Comedy Musical,the best little whorehouse in texas,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1
David Cronenberg,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,Horror Sci-Fi Thriller,existenz,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1
Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,Action Adventure,raiders of the lost ark,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1
Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,Adventure Comedy Family,home alone 2: lost in new york,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1
Steven Spielberg,Bob Balaban,Teri Garr,Melinda Dillon,Drama Sci-Fi,close encounters of the third kind,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1
Jim Sonzero,Ian Somerhalder,Christina Milian,Rick Gonzalez,Drama Horror Sci-Fi Thriller,pulse,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1
Tony Scott,Dean Stockwell,Judge Reinhold,Ronny Cox,Action Comedy Crime Thriller,beverly hills cop ii,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1
Adam Shankman,Angus T. Jones,Kimberly J. Brown,Steve Harris,Comedy,bringing down the house,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1
Jonathan Demme,Anthony Hopkins,Scott Glenn,Anthony Heald,Crime Drama Horror Thriller,the silence of the lambs,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1
Penelope Spheeris,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,Comedy Music,wayne's world,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1
